task_id hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
71	40/1d0909	25631	Classification_Kraken2_DB2 (BC05)	COMPLETED	0	2021-10-26 19:58:56.408	7m 10s	7m 10s	7.5%	34.1 GB	35.6 GB	34.2 GB	591.3 KB
57	17/f98ec6	11711	Similarity_Search_Blastn (BC04)	COMPLETED	0	2021-10-26 19:43:25.499	24m 52s	24m 52s	19.8%	43.3 GB	117.2 GB	334.2 KB	46.7 KB
58	02/42961a	22489	Blast_Reference_Search (BC07)	COMPLETED	0	2021-10-26 19:58:20.964	1h 25m 42s	1h 25m 42s	11.6%	102.7 MB	153.3 MB	467.3 GB	18.4 MB
73	c0/a8dc4a	20360	Alignment_Minimap2 (BC07)	COMPLETED	0	2021-10-26 21:24:04.080	3.9s	3.8s	39.0%	16.4 MB	46.2 MB	20.6 MB	826.6 KB
74	31/37b735	21058	Report (BC07)	COMPLETED	0	2021-10-26 21:24:08.938	13.2s	13.1s	19.6%	76.2 MB	404.7 MB	39.7 MB	42.1 KB
75	57/8be612	22140	Consensus (BC07)	COMPLETED	0	2021-10-26 21:24:23.126	1.5s	1.4s	89.8%	76 MB	126.7 MB	67.6 MB	24.3 MB
76	29/503c53	22418	Classification_Kraken2_DB2 (BC07)	COMPLETED	0	2021-10-26 21:24:25.588	6m 24s	6m 24s	7.9%	34.1 GB	35.7 GB	34.2 GB	268.3 KB
59	38/a292a4	20179	Blast_Reference_Search (BC10)	COMPLETED	0	2021-10-26 21:24:03.074	1h 27m 53s	1h 27m 53s	11.1%	102.8 MB	153.3 MB	467.3 GB	79.1 MB
77	76/6edb7a	9524	Alignment_Minimap2 (BC10)	COMPLETED	0	2021-10-26 22:51:56.849	4.2s	4.2s	119.3%	571.7 MB	1.6 GB	82.7 MB	1.7 MB
78	86/62e4b9	10223	Report (BC10)	COMPLETED	0	2021-10-26 22:52:02.100	13.1s	13.1s	47.0%	592.5 MB	1.6 GB	101.1 MB	340.8 KB
79	9a/749c9d	11268	Consensus (BC10)	COMPLETED	0	2021-10-26 22:52:16.237	5.1s	5.1s	102.4%	102.7 MB	152.5 MB	276.4 MB	151.5 MB
80	64/29f716	11815	Classification_Kraken2_DB2 (BC10)	COMPLETED	0	2021-10-26 22:52:22.362	6m 43s	6m 43s	7.9%	33.8 GB	34.1 GB	34.2 GB	459 KB
